Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Ahuja S., Panigrahi B.K., Dey N., Rajinikanth V., Gandhi T.K.","57204632883;25637555100;55356190900;57561692500;24343318600;","Deep transfer learning-based automated detection of COVID-19 from lung CT scan slices",2021,"Applied Intelligence","51","1",,"571","585",,265,"10.1007/s10489-020-01826-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089672303&doi=10.1007%2fs10489-020-01826-w&partnerID=40&md5=1eee07660ad957aaab41985935da0d29","Electrical Engineering Department, IITD, New Delhi, 110016, India; Department of Information Technology, Techno International New Town, Kolkata, West Bengal  700156, India; Department of Electronics and Instrumentation Engineering, St. Joseph’s College of Engineering, Chennai, Tamilnadu  600119, India","Ahuja, S., Electrical Engineering Department, IITD, New Delhi, 110016, India; Panigrahi, B.K., Electrical Engineering Department, IITD, New Delhi, 110016, India; Dey, N., Department of Information Technology, Techno International New Town, Kolkata, West Bengal  700156, India; Rajinikanth, V., Department of Electronics and Instrumentation Engineering, St. Joseph’s College of Engineering, Chennai, Tamilnadu  600119, India; Gandhi, T.K., Electrical Engineering Department, IITD, New Delhi, 110016, India","Lung abnormality is one of the common diseases in humans of all age group and this disease may arise due to various reasons. Recently, the lung infection due to SARS-CoV-2 has affected a larger human community globally, and due to its rapidity, the World-Health-Organisation (WHO) declared it as pandemic disease. The COVID-19 disease has adverse effects on the respiratory system, and the infection severity can be detected using a chosen imaging modality. In the proposed research work; the COVID-19 is detected using transfer learning from CT scan images decomposed to three-level using stationary wavelet. A three-phase detection model is proposed to improve the detection accuracy and the procedures are as follows; Phase1- data augmentation using stationary wavelets, Phase2- COVID-19 detection using pre-trained CNN model and Phase3- abnormality localization in CT scan images. This work has considered the well known pre-trained architectures, such as ResNet18, ResNet50, ResNet101, and SqueezeNet for the experimental evaluation. In this work, 70% of images are considered to train the network and 30% images are considered to validate the network. The performance of the considered architectures is evaluated by computing the common performance measures. The result of the experimental evaluation confirms that the ResNet18 pre-trained transfer learning-based model offered better classification accuracy (training = 99.82%, validation = 97.32%, and testing = 99.4%) on the considered image dataset compared with the alternatives. © 2020, Springer Science+Business Media, LLC, part of Springer Nature.","COVID-19; CT scan; ResNet18; Transfer learning; Wavelets","Biological organs; Classification (of information); Deep learning; Diseases; Image enhancement; Network architecture; Petroleum reservoir evaluation; Respiratory system; Statistical tests; Transfer learning; Automated detection; Classification accuracy; Detection accuracy; Experimental evaluation; Learning Based Models; Lung abnormalities; Performance measure; Stationary wavelet; Computerized tomography","Ahuja, S.; Electrical Engineering Department, India; email: Sakshi.Ahuja@ee.iitd.ac.in",,"Springer",0924669X,,APITE,,"English","Appl Intell",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85089672303
"Relan A., Gupta V., Kumar R., Vyas S., Panigrahi B.K.","57222734277;57212178210;57217697241;56865485700;25637555100;","Optimal siting of electric vehicle battery swapping stations with centralized charging",2020,"9th IEEE International Conference on Power Electronics, Drives and Energy Systems, PEDES 2020",,,"9379513","","",,2,"10.1109/PEDES49360.2020.9379513","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103919390&doi=10.1109%2fPEDES49360.2020.9379513&partnerID=40&md5=97f81b9ca0d1b7c6a60003120fddd9c6","MNIT, Department of Electrical Engineering, Jaipur, India; The Energy and Resources Institute (TERI), New Delhi, India; IIT, Department of Electrical Engineering, Delhi, India","Relan, A., MNIT, Department of Electrical Engineering, Jaipur, India; Gupta, V., MNIT, Department of Electrical Engineering, Jaipur, India; Kumar, R., MNIT, Department of Electrical Engineering, Jaipur, India; Vyas, S., The Energy and Resources Institute (TERI), New Delhi, India; Panigrahi, B.K., IIT, Department of Electrical Engineering, Delhi, India","Electric mobility is becoming imperative for urban areas with rising air pollution levels. Governments across the world are implementing schemes for rollout of electric vehicles however a well-established charging infrastructure is the foremost requirement. Apart from setting up the charging network, it is equally important to ensure its optimal operation. Battery swapping has emerged as a feasible solution for quick charging of vehicles and makes immense sense for light duty vehicles. However, the optimal placement of such stations ensuring ease of access is a critical problem given the space constraints in city areas. Battery swapping stations may have a dedicated charging station or can be catered by a network of charging stations distributed conveniently across the city. The present work formulates the problem of determining the best locations for swapping stations so as to reduce the cost of transporting batteries from a set of charging stations and to ensure ease of access to vehicles in a city that has a symmetrical plan. A mathematical optimization framework has been created to solve the problem of optimal siting of battery swapping stations in the described city layout. The results are encouraging and the methodology can be of interest to city mobility planners and can also be applied to areas where an asymmetrical electric vehicle arrangement exists. © 2020 IEEE.","Battery Swapping Station (BSS); Electric Vehicle; Optimal Placement; Optimization Techniques","Automotive batteries; Electric vehicles; Light weight vehicles; Optimization; Power electronics; Charging infrastructures; Electric vehicle batteries; Implementing scheme; Light duty vehicles; Mathematical optimizations; Optimal operation; Optimal placements; Space constraints; Fast charging (Batteries)",,,"Institute of Electrical and Electronics Engineers Inc.",,9781728156729,,,"English","IEEE Int. Conf. Power Electron., Drives Energy Syst., PEDES",Conference Paper,"Final","",Scopus,2-s2.0-85103919390
"Gupta V., Kumar R., Panigrahi B.K., Al-Sumaiti A.","57212178210;58596534000;25637555100;56027880200;","Evaluation of Battery Swapping Stations (BSS) with PV Assist for High Electric Vehicle Penetration",2020,"9th IEEE International Conference on Power Electronics, Drives and Energy Systems, PEDES 2020",,,"9379771","","",,,"10.1109/PEDES49360.2020.9379771","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103916306&doi=10.1109%2fPEDES49360.2020.9379771&partnerID=40&md5=3205ba069a8b848080dc2bb4625abf33","MNIT, Department of Electrical Engineering, Jaipur, India; IIT, Department of Electrical Engineering, Delhi, India; Khalifa University, Department of Electrical and Computer Engineering, Abu Dhabi, United Arab Emirates","Gupta, V., MNIT, Department of Electrical Engineering, Jaipur, India; Kumar, R., MNIT, Department of Electrical Engineering, Jaipur, India; Panigrahi, B.K., IIT, Department of Electrical Engineering, Delhi, India; Al-Sumaiti, A., Khalifa University, Department of Electrical and Computer Engineering, Abu Dhabi, United Arab Emirates","Battery recharging is an essential aspect of integration of Electric Vehicle (EVs) into the transportation framework. So far, charging stations have been considered as the primary source for recharging EVs. However, a significant time is is taken at the charging station to recharge a single EV. This problem is addressed by Battery Swapping Stations (BSS) that allow for swapping a depleted battery (DB) with a charged battery (CB). As with charging stations, the participating entities remain to be the grid, the aggregator, service station(s) and the EV owner. However, a variation exists in their interaction. In this work, a scheduling management scheme is presented for an aggregator to maximize its profit while managing BSS in a densely populated area. Furthermore, this has been explored for a varying number of requests. Furthermore, a PV assist has also been considered for BSS, where the depleted batteries may be charged through the PV assist. In both cases, with and without penalty for unscheduled EVs, in the case of no PV assist and with PV assist, results indicated that maximum profit was observed in the case of PV assist. Furthermore, more batteries were found to be available for swapping in the case with PV assist. © 2020 IEEE.","Charging Cost; Charging scheduling; Collaborative Scheduling; Electric Vehicle; Unscheduled Penalty","Charging (batteries); Electric vehicles; Power electronics; Profitability; Scheduling; Battery swapping; Charging station; Electric Vehicles (EVs); Management scheme; Maximum profits; Primary sources; Vehicle penetration; Automotive batteries",,,"Institute of Electrical and Electronics Engineers Inc.",,9781728156729,,,"English","IEEE Int. Conf. Power Electron., Drives Energy Syst., PEDES",Conference Paper,"Final","",Scopus,2-s2.0-85103916306
"Mishra D., Singh B., Panigrahi B.K.","57225673739;7405638726;25637555100;","Multi-Resonant Control in a PV-SEPIC Fed PEV Charger with Distorted Grid Conditions",2020,"9th IEEE International Conference on Power Electronics, Drives and Energy Systems, PEDES 2020",,,"9379790","","",,1,"10.1109/PEDES49360.2020.9379790","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103907316&doi=10.1109%2fPEDES49360.2020.9379790&partnerID=40&md5=c3cefd90b65001fa4bab09d172b74f71","Indian Institute of Technology Delhi, Department of Electrical Engineering, New Delhi, 110016, India","Mishra, D., Indian Institute of Technology Delhi, Department of Electrical Engineering, New Delhi, 110016, India; Singh, B., Indian Institute of Technology Delhi, Department of Electrical Engineering, New Delhi, 110016, India; Panigrahi, B.K., Indian Institute of Technology Delhi, Department of Electrical Engineering, New Delhi, 110016, India","The wide variation in the EV battery voltage proportionate to the charging mileage and the demand for fast charging certainly requires a versatile EV charger to meet various battery standards. This paper demonstrates an implicit wide range of plug-in electric vehicle (PEV) charger based upon a single-ended primary inductor converter (SEPIC) and PV connectivity for improvement of grid power quality in the presence of grid abnormality. The Level-I PEV charger is uniquely identified due to its suitability to adopt a wide range of battery voltage by incorporating a two-stage decoupled control action with a front-end multi-resonant control (MRC). The implemented parallel resonant controller successfully eliminates the low-frequency odd harmonics at a very poor grid condition and maintains the unity power factor (UPF) at the utility. In addition, the photo-voltaic (PV) connectivity improves the grid reliability by providing additional power to both utility and EV unit during peak hour charging demand. The controller is developed and verified in a MATLAB/SIMULINK platform for a 3.3 kW isolated EV charger. The control implementation and EV charging phenomenon with a multi-resonant controller are also verified with the Opal-RT hardware-in-loop (HIL) simulator in presence of grid disturbances. © 2020 IEEE.","PEV charger; Photo-voltaic (PV); Power quality improvement; Proportional resonant (PR) control","Controllers; Electric power transmission networks; Fast charging (Batteries); Image enhancement; Plug-in electric vehicles; Power electronics; Resonance; Secondary batteries; Vehicle-to-grid; Control implementation; Decoupled control; Parallel resonant; Plug in Electric Vehicle (PEV); Resonant controller; Resonant controls; Single ended primary inductor converter (SEPIC); Unity power factor (UPF); Electric power system control",,,"Institute of Electrical and Electronics Engineers Inc.",,9781728156729,,,"English","IEEE Int. Conf. Power Electron., Drives Energy Syst., PEDES",Conference Paper,"Final","",Scopus,2-s2.0-85103907316
"Saini V.K., Gupta V., Kumar R., Panigrahi B.K., Mahmud M.A.","57208821917;57212178210;57217697241;25637555100;36651026400;","Cloud energy storage systems for consumers and prosumers in residential microgrids",2020,"9th IEEE International Conference on Power Electronics, Drives and Energy Systems, PEDES 2020",,,"9379740","","",,13,"10.1109/PEDES49360.2020.9379740","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103901901&doi=10.1109%2fPEDES49360.2020.9379740&partnerID=40&md5=0d2d01a08964820420f56b7fd91e5548","Center for Energy and Environment, Malaviya National Institute of Technology Jaipur302017, India; Malaviya National Institute of Technology Jaipur, Department of Electrical Engineering302017, India; Indian Institute of Technology, Department of Electrical Engineering, Delhi, India; School of Engineering, Deakin UniversityVIC  3216, Australia","Saini, V.K., Center for Energy and Environment, Malaviya National Institute of Technology Jaipur302017, India; Gupta, V., Malaviya National Institute of Technology Jaipur, Department of Electrical Engineering302017, India; Kumar, R., Malaviya National Institute of Technology Jaipur, Department of Electrical Engineering302017, India; Panigrahi, B.K., Indian Institute of Technology, Department of Electrical Engineering, Delhi, India; Mahmud, M.A., School of Engineering, Deakin UniversityVIC  3216, Australia","Distributed energy storage systems (DESSs) have huge potential to balance distributed renewable power generation and load demands for consumers of prosumers. DESSs are capable to reduce barriers by eliminating intermittencies in distributed renewable energy sources in microgrids. Since the electricity prices are higher during the peak hours, DESSs can be used to store energy during residential off-peak (but solar peak) hours and utilized this energy during residential peak hours for reducing electricity bills of consumers or prosumers in microgrids. However, energy storage systems are still expensive components for residential microgrids and these need to be effectively utilized in order to provide a cost-effective solution. In continious analysis economic benifit also carried out. Maximum rate of return on investment, maximum profit margin, and annual revenue are includes in economic analysis. This paper present an alternative solution, a cloud energy storage system (CESS) for effectively utilizing DESSs in residential microgrids while reducing both electricity bills and installation costs for ESSs. This work presents an analysis on the feasibility and profit ability of CESSs. © 2020 IEEE.","Cloud energy storage systems; Distributed energy storage systems; Energy storage systems","Cost effectiveness; Costs; Earnings; Economic analysis; Electric energy storage; Housing; Microgrids; Power electronics; Profitability; Renewable energy resources; Alternative solutions; Cost-effective solutions; Distributed energy storage systems; Electricity prices; Energy storage systems; Installation costs; Renewable energy source; Renewable power generation; Investments",,,"Institute of Electrical and Electronics Engineers Inc.",,9781728156729,,,"English","IEEE Int. Conf. Power Electron., Drives Energy Syst., PEDES",Conference Paper,"Final","",Scopus,2-s2.0-85103901901
"Saxena V., Kumar N., Singh B., Panigrahi B.K.","57215831318;57200038451;7405638726;25637555100;","An enhanced multilayer GI based control for grid integrated solar PV system",2020,"9th IEEE International Conference on Power Electronics, Drives and Energy Systems, PEDES 2020",,,"9379446","","",,11,"10.1109/PEDES49360.2020.9379446","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103896204&doi=10.1109%2fPEDES49360.2020.9379446&partnerID=40&md5=1c92d02380df765cf9ca6e3fb2cdc34d","Indian Institute of Technology Delhi, New Delhi, India; National University of Singapore, Singapore, Singapore","Saxena, V., Indian Institute of Technology Delhi, New Delhi, India; Kumar, N., National University of Singapore, Singapore, Singapore; Singh, B., Indian Institute of Technology Delhi, New Delhi, India; Panigrahi, B.K., Indian Institute of Technology Delhi, New Delhi, India","This work presents an enhanced multilayer second-order generalized integrator (EMSOGI) based control approach for a double stage single phase topology based solar PV array interfaced with the grid. This PV system is integrated into the grid at the DC bus of the voltage source inverter (VSI). The PV system satisfies the nonlinear load demand at the PCC (Point of Common Coupling) and feeds the excess power to the grid. The control is able to transfer the power even when the system is subjected to adverse grid conditions. The control is able to solve the inherent problems of the most popular controller used, that is, SOGI and its advanced versions. The boost converter is operated using a PO (Perturb and Observe) algorithm to maintain the peak power point tracing from the solar PV module. Furthermore, the obtained results of a developed model in MATLAB SIMULINK platform are observed to show that the IEEE-519 standard is duly followed under various adverse grid conditions. © 2020 IEEE.","Abnormal Grid Conditions; Enhanced Multilayer Second Order Generalized Integrator (EMSOGI); Power Quality; Solar PV Generation","DC-DC converters; Electric fault currents; Electric inverters; Electric power transmission networks; Maximum power point trackers; Multilayers; Photovoltaic cells; Power electronics; Control approach; Developed model; Matlab Simulink platform; Perturb and observe; Point of common coupling; Second-order generalized integrators; Solar PV systems; Voltage source inverter; Electric power system control",,,"Institute of Electrical and Electronics Engineers Inc.",,9781728156729,,,"English","IEEE Int. Conf. Power Electron., Drives Energy Syst., PEDES",Conference Paper,"Final","",Scopus,2-s2.0-85103896204
"Pradhan S., Singh B., Panigrahi B.K.","57194649381;7405638726;25637555100;","Robust adaptive position observer for multimode wind-BES based microgrid interfaced to distribution network",2020,"9th IEEE International Conference on Power Electronics, Drives and Energy Systems, PEDES 2020",,,"9379432","","",,2,"10.1109/PEDES49360.2020.9379432","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103890189&doi=10.1109%2fPEDES49360.2020.9379432&partnerID=40&md5=b67247d6b9f5d54d02180346f13a45a5","Indian Institute of Technology, Delhi, Department of Electrical Engineering, New Delhi, India","Pradhan, S., Indian Institute of Technology, Delhi, Department of Electrical Engineering, New Delhi, India; Singh, B., Indian Institute of Technology, Delhi, Department of Electrical Engineering, New Delhi, India; Panigrahi, B.K., Indian Institute of Technology, Delhi, Department of Electrical Engineering, New Delhi, India","This paper presents a robust adaptive position observer (RAPO) for implementing encoder-less speed control for permanent magnet synchronous generator (PMSG). The PMSG is driven by a wind turbine. The basic structure of sliding mode observer (SMO) includes a discontinuous signum function and low pass filter, which introduces not only chattering but also delay in the estimated position. To deal with the issue of classical SMO, RAPO consisting of sigmoid function based continuous super twisting SMO (CSTSMO) followed by a multi-layered fourth order generalized integrator (MFGI) is used for this purpose. The CSTSMO is robust and with continuous switching function, it provides results with less chattering. The MFGI filters out the lower order dominating harmonics and determines the fundamental signal, which helps in calculating accurate position and speed of PMSG. This technique is implemented on a wind-BES based microgrid, which is operable in off-grid as well as in grid interfaced mode. Furthermore, the system is proficient to mitigate some of the power quality issues. © 2020 IEEE.","Encoder-less Speed Control; Microgrid; Power Quality; Seamless Transition; Wind Energy Generation","Low pass filters; Microgrids; Permanent magnets; Power electronics; Synchronous generators; Basic structure; Continuous switching functions; Generalized integrators; Permanent magnet synchronous generator; Sigmoid function; Signum function; Sliding mode observers; Super- twisting; Electric machine control",,,"Institute of Electrical and Electronics Engineers Inc.",,9781728156729,,,"English","IEEE Int. Conf. Power Electron., Drives Energy Syst., PEDES",Conference Paper,"Final","",Scopus,2-s2.0-85103890189
"Singh S., Seema, Singh B., Panigrahi B.K.","57226080816;41762537000;7405638726;25637555100;","Adaptive Based Leaky LMS Control Technique of Grid Connected SPV System",2020,"9th IEEE International Conference on Power Electronics, Drives and Energy Systems, PEDES 2020",,,"9379902","","",,3,"10.1109/PEDES49360.2020.9379902","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103881515&doi=10.1109%2fPEDES49360.2020.9379902&partnerID=40&md5=395899a06441f3af0548ac1b9608e658",,"Singh, S.; Seema; Singh, B.; Panigrahi, B.K.","This paper presents the leaky LMS (LLMS) control for a double stage grid integrated SPV (solar photovoltaic) system. The SPV system comprises the boost converter, voltage source converter (VSC), a ripple filter, and nonlinear loads. The LLMS control has two objectives as follows (1) estimation of fundamental load current components and (2) evaluation of synchronizing signals, which is coupled at POI (point of interconnection). Moreover, this LLMS control algorithm eliminates the load side current harmonics, which improves the power quality. The control algorithm shows many advantages like as (1) it gives a quick response and convergence rate is very fast, (2) harmonics elimination as the capability to cancel the noise, and (3) simple in implementation. The boost converter is connected with the solar PV array and DC capacitor of VSC. Moreover, the boost converter extracts the peak power from the SPV array. The PO (perturb observed) based MPPT controller tracks the maximum power from photovoltaic array. Moreover, this solar PO algorithm has good potential for rapidly solar variation perturbation. The SPV system with LLMS based control algorithm is simulated in MATLAB under PV variation irradiance and unbalanced load conditions. The total harmonics distortion (THDs) of the grid current is achieved as per in IEEE 519 standard. © 2020 IEEE.","Boost Converter; Nonlinear load; PO; PQ (Power Quality); Solar Energy; VSC","DC-DC converters; Harmonic analysis; Photovoltaic cells; Power electronics; Quality control; Control techniques; Harmonics elimination; Ieee 519 standards; Photovoltaic arrays; Solar photovoltaics; Synchronizing signal; Total harmonics distortions; Voltage source converters; Adaptive control systems",,,"Institute of Electrical and Electronics Engineers Inc.",,9781728156729,,,"English","IEEE Int. Conf. Power Electron., Drives Energy Syst., PEDES",Conference Paper,"Final","",Scopus,2-s2.0-85103881515
"Zarkab M., Singh B., Panigrahi B.K.","57222731766;7405638726;25637555100;","Model predictive control for modular electric vehicle charger",2020,"9th IEEE International Conference on Power Electronics, Drives and Energy Systems, PEDES 2020",,,"9379649","","",,3,"10.1109/PEDES49360.2020.9379649","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103875500&doi=10.1109%2fPEDES49360.2020.9379649&partnerID=40&md5=f4e4ca73757e9940d012d2bd65091bac","Indian Institute of Technology Delhi Hauz Khas, Department of Electrical Engineering, New Delhi, 110016, India","Zarkab, M., Indian Institute of Technology Delhi Hauz Khas, Department of Electrical Engineering, New Delhi, 110016, India; Singh, B., Indian Institute of Technology Delhi Hauz Khas, Department of Electrical Engineering, New Delhi, 110016, India; Panigrahi, B.K., Indian Institute of Technology Delhi Hauz Khas, Department of Electrical Engineering, New Delhi, 110016, India","In this paper, a power converter architecture is implemented for charging of electric vehicles (EVs), which is based on a cascaded multi-level converter with an integrated split-energy storage units. The power interface between each submodule and EV is connected to an isolated bidirectional DC-DC converter. A unit-template based model predictive control (MPC) is implemented to improve power quality and reliability of the distribution network while charging an EV battery. The MPC approach in this paper, consists of three steps: The first step is an optimization problem i.e., current-control in MPC, the second step is the design making step regarding weighting factor and the third is the fault detection and action control. Further, state of charge balancing is also achieved using MPC to charge/ discharge all split battery storage units at same rate. Finally, the control is verified by simulating the system in MATLAB/Simulink at different operating modes. © 2020 IEEE.",,"Battery management systems; DC-DC converters; Electric discharges; Electric vehicles; Energy storage; Fault detection; Model predictive control; Power electronics; Predictive control systems; Secondary batteries; Bidirectional DC-DC converters; Charge-discharge; Converter architecture; Electric Vehicles (EVs); Multilevel converter; Optimization problems; Template-based modeling; Weighting factors; Charging (batteries)",,,"Institute of Electrical and Electronics Engineers Inc.",,9781728156729,,,"English","IEEE Int. Conf. Power Electron., Drives Energy Syst., PEDES",Conference Paper,"Final","",Scopus,2-s2.0-85103875500
"Qureshi U., Ghosh A., Panigrahi B.K.","57200150006;56693492000;25637555100;","Scheduling and Routing of Mobile Charging Stations to Charge Electric Vehicles in a Smart-City",2020,"2020 IEEE 17th India Council International Conference, INDICON 2020",,,"9342287","","",,6,"10.1109/INDICON49873.2020.9342287","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101545195&doi=10.1109%2fINDICON49873.2020.9342287&partnerID=40&md5=0294e017a720ca7d1af5536b2b106bd4","Indian Institute of Technology, Department of Electrical Engineering, Delhi, India; Imperial College of London, United Kingdom","Qureshi, U., Indian Institute of Technology, Department of Electrical Engineering, Delhi, India; Ghosh, A., Indian Institute of Technology, Department of Electrical Engineering, Delhi, India; Panigrahi, B.K., Imperial College of London, United Kingdom","We introduce the concept of mobile charging stations to charge electric vehicles. The mobile charging stations are vehicles carrying fast DC-DC chargers and battery bank. These mobile charging stations are scheduled and routed to service spatially and temporally heterogeneous electric vehicle charging requests. We formulate the optimization problem to minimize the cost of charging while satisfying the constraints of mobile charging stations and deadline constraints of charging requests. We show that the optimization problem which we have formulated is a combination of Bin-packing problem and a multi-city travelling-salesman-problem hence it is NP-hard and cannot be solved in reasonable CPU time, unless P=NP. We thus propose the modified Clarke and Wright Saving's heuristics to solve this problem. Numerical results show that our algorithm requires less number of mobile charging stations and can appreciably reduce the cost of charging while simultaneously increasing customer satisfaction. © 2020 IEEE.","charging; deadline-scheduling; electric-vehicle; mobile charging station; optimization; smart grid","Constraint satisfaction problems; Customer satisfaction; Electric automobiles; NP-hard; Optimization; Smart city; Traveling salesman problem; Bin packing problem; Deadline constraint; Electric vehicle charging; Mobile charging; Numerical results; Optimization problems; Scheduling and routing; Travelling salesman problem; Charging (batteries)",,,"Institute of Electrical and Electronics Engineers Inc.",,9781728169163,,,"English","IEEE India Council Int. Conf., INDICON",Conference Paper,"Final","",Scopus,2-s2.0-85101545195
"Chaki J., Dey N., Panigrahi B.K., Shi F., Fong S.J., Sherratt R.S.","56568428500;55356190900;25637555100;23398821000;7102256353;7004090619;","Pattern Mining Approaches Used in Social Media Data",2020,"International Journal of Uncertainty, Fuzziness and Knowldege-Based Systems","28","Supp02",,"123","152",,2,"10.1142/S021848852040019X","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098479248&doi=10.1142%2fS021848852040019X&partnerID=40&md5=01078c5569c30fa18bd362cfb72f042f","School of Information Technology and Engineering, Vellore Institute of Technology, Vellore, India; Department of Computer Science and Engineering, Jis University, Kolkata, India; Department of Electrical Engineering, Iit, Delhi, India; Cancer Institute of New Jersey, Rutgers University, United States; Department of Computer and Information Science, University of Macau, Macau; Department of Biomedical Engineering, University of Reading, United Kingdom","Chaki, J., School of Information Technology and Engineering, Vellore Institute of Technology, Vellore, India; Dey, N., Department of Computer Science and Engineering, Jis University, Kolkata, India; Panigrahi, B.K., Department of Electrical Engineering, Iit, Delhi, India; Shi, F., Cancer Institute of New Jersey, Rutgers University, United States; Fong, S.J., Department of Computer and Information Science, University of Macau, Macau; Sherratt, R.S., Department of Biomedical Engineering, University of Reading, United Kingdom","Social media conveys a reachable platform for users to share information. The inescapable practice of social media has produced remarkable volumes of social data. Social media gathers the data in both structured-unstructured and formal-informal ways as users are not concerned with the exact grammatical structure and spelling when interacting with each other by means of various social networking websites (Twitter, Facebook, YouTube, LinkedIn, etc.). People are increasingly involved in and dependent on social media networks for data, news and opinions of other handlers on a variety of topics. The strong dependence on social media network sites contributes to enormous data generation characterized by three issues: scale, noise, and variety. Such problems also hinder social network data to be evaluated manually, resulting in the correct use of statistical analytical methods. Mining social media data can extract significant patterns that can be advantageous for consumers, users, and business. Pattern mining offers a wide variety of methods to detect valuable knowledge from huge datasets, such as patterns, trends, and rules. In this work, data was collected comprised of users' opinions and sentiments and then processed using a significant number of pattern mining methods. The results were then further analyzed to attain meaningful information. The aim of this paper is to deliver a summary and a set of strategies for utilizing the ubiquitous pattern mining approaches, and to recognize the challenges and future research guidelines of dealing out social media data. © 2020 World Scientific Publishing Company.","classification; clustering; feature extraction; feature selection; pattern mining; pre-processing; Social media","Classification (of information); Data mining; Social networking (online); Clusterings; Features extraction; Features selection; Grammatical structure; Pattern mining; Pre-processing; Social datum; Social media; Social media datum; Social media networks; Feature extraction","Chaki, J.; School of Information Technology and Engineering, India; email: jyotismita.c@gmail.com",,"World Scientific",02184885,,IJUSF,,"English","Int. J. Uncertainty Fuzziness Knowledge Based Syst.",Review,"Final","All Open Access, Green",Scopus,2-s2.0-85098479248
"Kumar N., Singh B., Wang J., Panigrahi B.K.","57200038451;7405638726;14053323900;25637555100;","A Framework of L-HC and AM-MKF for Accurate Harmonic Supportive Control Schemes",2020,"IEEE Transactions on Circuits and Systems I: Regular Papers","67","12","9108537","5246","5256",,23,"10.1109/TCSI.2020.2996775","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097355901&doi=10.1109%2fTCSI.2020.2996775&partnerID=40&md5=e076ee055c87153502d674307ed55e1b","Electrical and Computer Engineering Department, National University of Singapore, Singapore, 119077, Singapore; Department of Electrical Engineering, IIT Delhi, New Delhi, 110 016, India; School of Engineering, University of Warwick, Coventry, CV4 7AL, United Kingdom","Kumar, N., Electrical and Computer Engineering Department, National University of Singapore, Singapore, 119077, Singapore; Singh, B., Department of Electrical Engineering, IIT Delhi, New Delhi, 110 016, India; Wang, J., School of Engineering, University of Warwick, Coventry, CV4 7AL, United Kingdom; Panigrahi, B.K., Department of Electrical Engineering, IIT Delhi, New Delhi, 110 016, India","In this paper, an enhanced optimal control technique based on adaptive Maximize-M Kalman filter (AM-MKF) is used. To maximize power extraction from solar PV (Photovoltaic) panel, a learning-based hill climbing (L-HC) algorithm is implemented for a grid integrated solar PV system. For the testing, a three-phase system configuration based on 2-stage topology, and the deployed load on a common connection point (CCP) are considered. The L-HC MPPT algorithm is the modified version of HC (Hill Climbing) algorithm, where issues like, oscillation in steady-state condition and, slow response during dynamic change condition are mitigated. The AM-MKF is an advanced version of KF (Kalman Filter), where for optimal estimation in KF, an AM-M (Adaptive Maximize-M) concept is integrated. The key objective of the novel control strategy is to extract maximum power from the solar panel and to meet the demand of the load. After satisfying the load demand, the rest power is transferred to the grid. However, in the nighttime, the system is used for reactive power support, which mode of operation is known as a DSTATCOM (Distribution Static Compensator). The capability of developed control strategies, is proven through testing on a prototype. During experimentation, different adverse grid conditions, unbalanced load situation and variable solar insolation are considered. In these situations, the satisfactory performances of control techniques prove the effectiveness of the developed control strategy. © 2004-2012 IEEE.","Adaptive Maximize-M Kalman Filter; DSTATCOM; Grid-Tied System; Power Quality; Solar PV Generation","Kalman filters; Optimization; Passive filters; Static synchronous compensators; Control strategies; Control techniques; Mode of operations; Optimal control technique; Optimal estimations; Reactive power support; Steady-state condition; Three phase system; Electric power transmission networks","Kumar, N.; Electrical and Computer Engineering Department, Singapore; email: nishant.kumar1729@gmail.com",,"Institute of Electrical and Electronics Engineers Inc.",15498328,,,,"English","IEEE Trans. Circuits Syst. Regul. Pap.",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85097355901
