"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Erdas C.; Fokaides P.A.; Charalambous C.","Erdas, C. (56736900500); Fokaides, P.A. (16241526400); Charalambous, C. (57215454567)","56736900500; 16241526400; 57215454567","Ecological footprint analysis based awareness creation for energy efficiency and climate change mitigation measures enhancing the environmental management system of Limassol port","2015","Journal of Cleaner Production","108","","","716","724","8","24","10.1016/j.jclepro.2015.07.087","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84956659013&doi=10.1016%2fj.jclepro.2015.07.087&partnerID=40&md5=0920d3d7caafcf47505673ea7b0a2dd8","Cyprus Port Authority, 23 Crete Str., Nicosia, 1061, Cyprus; School of Engineering and Applied Sciences, Frederick University, 7, Y. Frederickou Str., Nicosia, 1036, Cyprus","Erdas C., Cyprus Port Authority, 23 Crete Str., Nicosia, 1061, Cyprus; Fokaides P.A., School of Engineering and Applied Sciences, Frederick University, 7, Y. Frederickou Str., Nicosia, 1036, Cyprus; Charalambous C., School of Engineering and Applied Sciences, Frederick University, 7, Y. Frederickou Str., Nicosia, 1036, Cyprus","Sea ports are very complex systems related to a wide variety of issues, the most important being waste production as well as water, air and soil releases. Furthermore, in port areas, several activities are carried out that may cause significant environmental impacts such as fisheries, industrial activities and storage of hazardous materials. Setting objectives and goals in terms of a comprehensive environmental management plan is of a great importance for sea ports. The main scope of this study is to introduce a novel approach to rationalize the environmental management strategies of sea ports based on the reduction of their ecological footprint. The object of the study is the Limassol sea port, a main cargo and cruise home port of the Mediterranean that serves one of the largest shipping fleets worldwide. In terms of this study, the most significant environmental aspects of the Limassol sea port are identified. An analysis of the main results of the calculation of the ecological footprint and carbon footprint is presented, by applying the Ecological Footprint analysis methodology. This study aims to deliver a comprehensive methodology that links the results of ecological footprint analysis with the environmental objectives of an ISO 14000 environmental management system. © 2015 Elsevier Ltd.","Ecological footprint; Environmental management system; Environmental objectives; ISO 14001; Limassol; Sea port","Carbon; Carbon footprint; Climate change; Ecology; Energy efficiency; Environmental impact; Environmental management systems; Ecological footprint; Environmental objectives; ISO 14001; Limassol; Sea ports; Environmental management","P.A. Fokaides; School of Engineering and Applied Sciences, Frederick University, Nicosia, 7, Y. Frederickou Str., 1036, Cyprus; email: p.fokaides@frederick.ac.cy","","Elsevier Ltd","09596526","","JCROE","","English","J. Clean. Prod.","Article","Final","","Scopus","2-s2.0-84956659013"
"Tam V.W.Y.; Fung I.W.H.; Sing M.C.P.; Ogunlana S.O.","Tam, Vivian W.Y. (7005091994); Fung, Ivan W.H. (7006797603); Sing, Michael C.P. (57189855171); Ogunlana, Stephen O. (6701638480)","7005091994; 7006797603; 57189855171; 6701638480","Best practice of prefabrication implementation in the Hong Kong public and private sectors","2015","Journal of Cleaner Production","109","","","216","231","15","145","10.1016/j.jclepro.2014.09.045","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949800067&doi=10.1016%2fj.jclepro.2014.09.045&partnerID=40&md5=19817b3114c10b1f170904f5d2145c5d","University of Western Sydney, School of Computing, Engineering and Mathematics, Locked Bag 1797, Penrith, 2751, NSW, Australia; Department of Civil and Architectural Engineering, City University of Hong Kong, Hong Kong, Hong Kong; Department of Construction Management, School of Built Environment, Curtin University, Australia; School of the Built Environment, Heriot-Watt University, Edinburgh, United Kingdom","Tam V.W.Y., University of Western Sydney, School of Computing, Engineering and Mathematics, Locked Bag 1797, Penrith, 2751, NSW, Australia; Fung I.W.H., Department of Civil and Architectural Engineering, City University of Hong Kong, Hong Kong, Hong Kong; Sing M.C.P., Department of Construction Management, School of Built Environment, Curtin University, Australia; Ogunlana S.O., School of the Built Environment, Heriot-Watt University, Edinburgh, United Kingdom","Prefabrication has been developed since the 1970s. The technologies have been further developed and improved for the past thirty years. The successful implementation of quality control and construction efficiency has been addressed with support from the public sector. The technologies however did not receive attention from the private sector since prefabrication requires dimensional coordination and standardization in the designs. This situation has changed from 2002 as the Hong Kong government promotes incentives schemes, i.e. gross floor area concessions for private developers to encourage them to adopt prefabrication techniques. This paper discusses and evaluates the best practice of prefabrication implementation in the Hong Kong public and private sectors using two leading case studies. Their adoption of prefabrication, construction methods and cost effectiveness are investigated. Discussions on effective implementation for the sectors have also been explored. The findings provide ameliorated understanding on the best practice of the implementation of prefabrication and provide courage for further improvement and implementation for the industry. © 2014 Elsevier Ltd. All rights reserved.","Construction; Hong Kong; Prefabrication; Quality control","Construction; Cost effectiveness; Best practices; Construction efficiency; Construction method; Gross floor areas; Hong-kong; Prefabrication; Private sectors; Public and private sector; Quality control","V.W.Y. Tam; University of Western Sydney, School of Computing, Engineering and Mathematics, Penrith, Locked Bag 1797, 2751, Australia; email: vivianwytam@gmail.com","","Elsevier Ltd","09596526","","JCROE","","English","J. Clean. Prod.","Article","Final","","Scopus","2-s2.0-84949800067"
"Qian Q.K.; Chan E.H.W.; Visscher H.; Lehmann S.","Qian, Queena K. (26535005100); Chan, Edwin H.W. (58497318100); Visscher, Henk (7003520713); Lehmann, Seffen (36100454200)","26535005100; 58497318100; 7003520713; 36100454200","Modeling the green building (GB) investment decisions of developers and end-users with transaction costs (TCs) considerations","2015","Journal of Cleaner Production","109","","","315","325","10","39","10.1016/j.jclepro.2015.04.066","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929119110&doi=10.1016%2fj.jclepro.2015.04.066&partnerID=40&md5=768c318683f7f1ea4947f49bf13ab0e8","OTB Research for the Built Environment, Delft University of Technology, Julianalaan 134, Delft, 2628 BL, Netherlands; Building and Real Estate Department, Hong Kong Polytechnic University, Hong Kong S.A.R., Hong Kong; School of the Built Environment, Curtin University, Australia","Qian Q.K., OTB Research for the Built Environment, Delft University of Technology, Julianalaan 134, Delft, 2628 BL, Netherlands, Building and Real Estate Department, Hong Kong Polytechnic University, Hong Kong S.A.R., Hong Kong; Chan E.H.W., Building and Real Estate Department, Hong Kong Polytechnic University, Hong Kong S.A.R., Hong Kong; Visscher H., OTB Research for the Built Environment, Delft University of Technology, Julianalaan 134, Delft, 2628 BL, Netherlands; Lehmann S., School of the Built Environment, Curtin University, Australia","The paper, through a ""regenerative"" lens, has focused upon a new conceptual game system involving transaction costs (TCs) for creating a more accessible green buildings (GB) market. Individual stakeholders steadfastly guard their own interests in any investment decision, which seldom considers any positive gains to society. Green buildings, branded as partial public goods, involve rational and irrational factors, incurring extra transaction costs (TCs) and affecting the willingness of the stakeholders to take part. This paper examines how to reduce the TCs incurred during the game played in the decision-making process with the ultimate aim of promoting GB. In the game model, the developers and end-users negotiate and bargain over the TCs caused by GB in comparison with its conventional counterpart. The findings are that 1) TCs are the overriding barriers impeding the development of the GB market. Reducing TCs will facilitate supply and demand in the GB market; 2) the equilibrium payoffs for the developer and the end-user are proportional to their bargaining powers (the higher the bargaining power is, the more benefit it will gain from the GB transaction); 3) strengthening the bargaining power of the developer can increase the expected utility of developing GB; and 4) more fake GB products or less credible developers will result in higher TCs for the end-users and therefore lower payoffs will be expected. The findings stress that the choice between developers & end-users over investing in GB is a complex game problem, where TCs could be conceptualized and showed their important role. By minimizing the TCs incurred in the complex decision of GB, it will not only benefit themselves but also bring net regenerative outcomes to society. © 2015 Elsevier Ltd. All rights reserved.","End-users; Game model; Green building (GB); Real estate developers; Transaction costs (TCs)","Commerce; Costs; Decision making; Economics; Power markets; End users; Game models; Green buildings; Real estate; Transaction cost; Investments","Q.K. Qian; OTB Research for the Built Environment, Delft University of Technology, Delft, Julianalaan 134, 2628 BL, Netherlands; email: kun.qian@fulbrightmail.org","","Elsevier Ltd","09596526","","JCROE","","English","J. Clean. Prod.","Article","Final","","Scopus","2-s2.0-84929119110"
"Wang C.; Li K.; Chen M.; Liu Z.","Wang, Chengdong (42162267500); Li, Kang (55912426000); Chen, Ming (57203254037); Liu, Zhiqiang (55778002500)","42162267500; 55912426000; 57203254037; 55778002500","Evaluation of minimum quantity lubrication effects by cutting force signals in face milling of Inconel 182 overlays","2015","Journal of Cleaner Production","108","","","145","157","12","40","10.1016/j.jclepro.2015.06.095","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065722396&doi=10.1016%2fj.jclepro.2015.06.095&partnerID=40&md5=528e1491b9a34967fd22c206c489d316","School of Mechanical Engineering, Shanghai Jiao Tong University, Shanghai, 200240, China","Wang C., School of Mechanical Engineering, Shanghai Jiao Tong University, Shanghai, 200240, China; Li K., School of Mechanical Engineering, Shanghai Jiao Tong University, Shanghai, 200240, China; Chen M., School of Mechanical Engineering, Shanghai Jiao Tong University, Shanghai, 200240, China; Liu Z., School of Mechanical Engineering, Shanghai Jiao Tong University, Shanghai, 200240, China","Nuclear steam turbines are well known working in saturated wet steam environment, it is essential to avoid critical components such as rotor from erosion and corrosion. The use of anti-corrosion material depositing and covering on the steam seal and then machining to the required thickness and surface quality can be an effective and economical way to prevent rotor supporting plane from corrosion and erosion. Inconel 182 can be this anti-corrosion material, however, it is also difficult-to-cut material. Due to its strong adhesive property, the environmentally friendly lubrication technology Minimum Quantity Lubrication (MQL) is required when machining Inconel 182 overlays. This study investigates the machinability of Inconel 182 overlays under dry cutting condition and MQL cutting condition during up milling or down milling orthogonal tests. The lubrication/cooling effects of MQL are also evaluated by real-time monitoring and analyzing cutting force signals in time-domain and in frequency-domain. Results indicate that cutting force signals, especially in transverse direction, can be used accurately to estimate the lubrication/cooling effects of MQL. MQL works effectively in up milling because, in this case, tool wear is dominant. However, in down milling, the self-excited vibration due to large impact when tool cut into the workpiece is easily intensified by the high speed MQL droplets, in this case, MQL works ineffectively. Considering the resource efficiency and economics, machining Inconel 182 overlays using up milling with MQL can effectively reduce tool waste and manufacture costs. © 2015 Elsevier Ltd","Cutting force; Down milling; Inconel 182 overlays; Lubrication/cooling effects of MQL; Minimum quantity lubrication (MQL); Up milling","Adhesives; Corrosion prevention; Cutting; Erosion; Frequency domain analysis; Lubrication; Milling (machining); Steam turbines; Cutting forces; Down millings; Inconel 182; Minimum quantity lubrication; Up millings; Cutting tools","M. Chen; School of Mechanical Engineering, Shanghai Jiao Tong University, Shanghai, 200240, China; email: mchen@sjtu.edu.cn","","Elsevier Ltd","09596526","","JCROE","","English","J. Clean. Prod.","Article","Final","","Scopus","2-s2.0-85065722396"
"Ruparathna R.; Hewage K.","Ruparathna, Rajeev (55911239000); Hewage, Kasun (8384286700)","55911239000; 8384286700","Sustainable procurement in the Canadian construction industry: Current practices, drivers and opportunities","2015","Journal of Cleaner Production","109","","","305","314","9","127","10.1016/j.jclepro.2015.07.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937111333&doi=10.1016%2fj.jclepro.2015.07.007&partnerID=40&md5=957a260564a9984cd1cf5593a6dd952c","University of British Columbia, School of Engineering, Okanagan Campus, Office: EME 4227, 1137 Alumini Avenue, Kelowna, V1V 1V7, BC, Canada","Ruparathna R., University of British Columbia, School of Engineering, Okanagan Campus, Office: EME 4227, 1137 Alumini Avenue, Kelowna, V1V 1V7, BC, Canada; Hewage K., University of British Columbia, School of Engineering, Okanagan Campus, Office: EME 4227, 1137 Alumini Avenue, Kelowna, V1V 1V7, BC, Canada","Procurement is a key process in construction project management. The current construction procurement practices have been widely criticized for disregarding sustainability in the project life cycle. At present, there is a gap of knowledge on status-quo of sustainable procurement in Canada. Therefore, the objective of this study is to review sustainable procurement practices in the Canadian construction industry. A multi method research design was used in this study by combining both qualitative and quantitative research methods. Three research tools were used in the study; namely questionnaire surveys, review of documents, and semi-structured interviews. Data triangulation was used to combine the results of all three research tools. The study showed that sustainable procurement initiatives have rarely been used in the Canadian construction industry. Limited sustainability initiatives are used in the project procurement, while environmental sustainability criteria are given the prominence. Furthermore a significant deficiency is observed in bid evaluation involving triple bottom line of sustainability. A majority of construction industry respondents agreed that sustainable procurement is a long due necessity and highlighted government regulations as the main driver for sustainable procurement. This study may be the first step to promote the use of sustainable procurement in the Canadian construction sector. © 2015 Elsevier Ltd. All rights reserved.","Canada; Construction industry; Construction procurement; Sustainable procurement","Construction industry; Laws and legislation; Life cycle; Supply chains; Surveys; Sustainable development; Canada; Construction procurement; Construction project management; Environmental sustainability; Government regulation; Quantitative research methods; Semi structured interviews; Sustainable procurement; Project management","K. Hewage; University of British Columbia, School of Engineering, Okanagan Campus, Office: EME 4227, Kelowna, 1137 Alumini Avenue, V1V 1V7, Canada; email: kasun.hewage@ubc.ca","","Elsevier Ltd","09596526","","JCROE","","English","J. Clean. Prod.","Article","Final","","Scopus","2-s2.0-84937111333"
"Heiskanen E.; Nissilä H.; Lovio R.","Heiskanen, Eva (55930195500); Nissilä, Heli (56131677000); Lovio, Raimo (23483532600)","55930195500; 56131677000; 23483532600","Demonstration buildings as protected spaces for clean energy solutions - The case of solar building integration in Finland","2015","Journal of Cleaner Production","109","","","347","356","9","42","10.1016/j.jclepro.2015.04.090","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929791956&doi=10.1016%2fj.jclepro.2015.04.090&partnerID=40&md5=f6b0d43f705caa6130386cd59ae282e4","Consumer Society Research Centre, University of Helsinki, P.O. Box 24, FI-00014, Finland; Aalto University, School of Business, P.O. Box 11000, Aalto, FI-00076, Finland","Heiskanen E., Consumer Society Research Centre, University of Helsinki, P.O. Box 24, FI-00014, Finland; Nissilä H., Aalto University, School of Business, P.O. Box 11000, Aalto, FI-00076, Finland; Lovio R., Aalto University, School of Business, P.O. Box 11000, Aalto, FI-00076, Finland","Demonstrations serve an important role in the promotion of sustainable technologies. This paper analyzes sustainable building demonstration from the strategic niche management perspective. It studies how demonstration sequences conducted over a long time span gradually contribute to niche development for clean energy technologies at the national level. Our empirical analysis focuses on solar building demonstrations in Finland, an unfavorable context for the technology. Our findings show that the demonstrations leveraged sporadic windows of opportunity for the technology resulting from international developments. The projects supported three niche development processes: the building of networks, different types of learning and the creation of visions and expectations, thereby softening the ground for solar technology uptake in new buildings. However, they have also struggled to make an immediate impact on mainstream practices due to weak continuity and the challenging socio-technical environment. The paper concludes with implications for carrying out demonstrations projects that provide continuity in unfriendly environments. © 2015 Elsevier Ltd. All rights reserved.","Building demonstration; Niche creation; Solar technology","Buildings; Intelligent buildings; Solar buildings; Sustainable development; Clean energy technology; Demonstration buildings; International development; Niche creation; Solar building integration; Solar technology; Strategic niche management; Sustainable technology; Demonstrations","E. Heiskanen; Consumer Society Research Centre, University of Helsinki, P.O. Box 24, FI-00014, Finland; email: eva.heiskanen@helsinki.fi","","Elsevier Ltd","09596526","","JCROE","","English","J. Clean. Prod.","Article","Final","","Scopus","2-s2.0-84929791956"
"Al-Saleh Y.; Mahroum S.","Al-Saleh, Yasser (23089897300); Mahroum, Sami (6602449927)","23089897300; 6602449927","A critical review of the interplay between policy instruments and business models: Greening the built environment a case in point","2015","Journal of Cleaner Production","109","","","260","270","10","51","10.1016/j.jclepro.2014.08.042","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923374038&doi=10.1016%2fj.jclepro.2014.08.042&partnerID=40&md5=63c051d40e6f42852595db3295b85463","INSEAD Innovation and Policy Initiative, P.O. Box 48049, Abu Dhabi, United Arab Emirates","Al-Saleh Y., INSEAD Innovation and Policy Initiative, P.O. Box 48049, Abu Dhabi, United Arab Emirates; Mahroum S., INSEAD Innovation and Policy Initiative, P.O. Box 48049, Abu Dhabi, United Arab Emirates","Policy instruments introduced with the aim of promoting environmental sustainability are often designed and evaluated in terms of their impact with regard to facilitating technological change. Most 'green' policy instruments that have emerged in recent decades have targeted facilitation of the development and adoption of greener processes, goods and services. Concurrent business models have sought to create and capture value arising from this policy-induced transition to more environmentally sustainable practices. Both such policy instruments and the business models are, however, often evaluated more in terms of their impact on the development and adoption of innovations and less in terms of their impact on behavioural change. This paper provides a critical review of the interplay between green policy instruments and green business models from a behavioural perspective. Instead of looking at policy instruments from a technology-push and demand-pull perspective, this paper samples them in terms of 'sticks', 'carrots' and 'sermons' and then provides a critical review of business models that have emerged in response to these types of policy regimes. The paper finds that most green business models that have emerged in the built environment - in response to sticks - may be characterised as buck-passing, i.e. passing costs to others and skirting around the stick of regulation. Those that emerge in response to carrots as opportunistic carpet-bagging aimed at capturing a temporary gain. Finally, those that emerged in response to sermon-orientated awareness campaigns, show a tendency to diffuse even in the absence of supportive fiscal conditions. © 2014 Elsevier Ltd. All rights reserved.","Environmental policy; Green business models; Green entrepreneurship; Sustainable built environment","Environmental protection; Adoption of innovations; Built environment; Environmental policy; Environmental sustainability; Green business; Green entrepreneurship; Sustainable practices; Technological change; Sustainable development","Y. Al-Saleh; INSEAD Innovation and Policy Initiative, Abu Dhabi, P.O. Box 48049, United Arab Emirates; email: Yasser.ALSALEH@insead.edu","","Elsevier Ltd","09596526","","JCROE","","English","J. Clean. Prod.","Article","Final","","Scopus","2-s2.0-84923374038"
"Zhang X.; Skitmore M.; De Jong M.; Huisingh D.; Gray M.","Zhang, Xiaoling (55604838800); Skitmore, Martin (7003387239); De Jong, Martin (57209464929); Huisingh, Donald (55944703800); Gray, Matthew (55972135400)","55604838800; 7003387239; 57209464929; 55944703800; 55972135400","Regenerative sustainability for the built environment - From vision to reality: An introductory chapter","2015","Journal of Cleaner Production","109","","","1","10","9","18","10.1016/j.jclepro.2015.10.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949798177&doi=10.1016%2fj.jclepro.2015.10.001&partnerID=40&md5=cfae394f40addc6dc509a2a25ed33107","Department of Public Policy, City University of Hong Kong, Hong Kong, Hong Kong; School of Civil Engineering and Built Environment, Queensland University of Technology (QUT), Australia; Faculty of Technology, Policy and Management, TU-Delft, Netherlands; Journal of Cleaner Production, University of Tennessee, Knoxville, United States","Zhang X., Department of Public Policy, City University of Hong Kong, Hong Kong, Hong Kong; Skitmore M., School of Civil Engineering and Built Environment, Queensland University of Technology (QUT), Australia; De Jong M., Faculty of Technology, Policy and Management, TU-Delft, Netherlands; Huisingh D., Journal of Cleaner Production, University of Tennessee, Knoxville, United States; Gray M., School of Civil Engineering and Built Environment, Queensland University of Technology (QUT), Australia","Regenerative sustainability is emerging as an alternative discourse around the transition from a 'mechanistic' to an 'ecological' or living systems worldview. This view helps us to re-conceptualize relationships among humans' technological, ecological, economic, social and political systems. Through exploration of 'net positive' or 'regenerative' development lenses and the traditional sustainability literature, the conceptualization and approaches to achieve sustainable development and ecological modernization are expanded to articulate and to explore the evolving sustainability discourse, 'regenerative sustainability'. This Special Volume of Journal of Cleaner Production (SV) is focused upon various dimensions of regenerative sustainability (e.g. regenerative design, regenerative development, and positive development) applied to the urban built environment at scales, which range from individual buildings, neighbourhoods, and urban developments to integrated regional sustainable development. The main focus is on how these approaches and developments are evolving, how they can help us to prevent or adapt to climate change and how these approaches are likely to evolve in the next two to three decades. These approaches are addressed in four themes: (1) reviewing the theoretical development of the discourse of regenerative sustainability, its emerging principles and practices, (2) explaining how it can be measured and monitored, (3) providing encouraging practical pathways and examples of its implementation in multiple cultural and climatic contexts, and (4) mapping obstacles and enablers that must be addressed to help to ensure that more rapid progress is made in implementing the transitions towards an urban built environment that supports genuinely sustainable societies. © 2015 Elsevier Ltd. All rights reserved.","Built environment; Framework; Obstacles and enablers; Pathways; Regenerative sustainability; Theory","Climate change; Ecology; Planning; Pollution control; Urban growth; Built environment; Framework; Obstacles and enablers; Pathways; Theory; Sustainable development","X. Zhang; Department of Public Policy, City University of Hong Kong, Hong Kong, Hong Kong; email: xiaoling.zhang@cityu.edu.hk","","Elsevier Ltd","09596526","","JCROE","","English","J. Clean. Prod.","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84949798177"
"Bayulken B.; Huisingh D.","Bayulken, Bogachan (56422538200); Huisingh, Donald (55944703800)","56422538200; 55944703800","Are lessons from eco-towns helping planners make more effective progress in transforming cities into sustainable urban systems: A literature review (part 2 of 2)","2015","Journal of Cleaner Production","109","","","152","165","13","41","10.1016/j.jclepro.2014.12.099","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84966522072&doi=10.1016%2fj.jclepro.2014.12.099&partnerID=40&md5=619477487d02bcf2495ac2be4a64e5d1","Erasmus University Rotterdam, Cleaner Production, Cleaner Products, Industrial Ecology and Sustainability, Netherlands; Institute for A Secure and Sustainable Environment, University of TN, Knoxville, TN, United States","Bayulken B., Erasmus University Rotterdam, Cleaner Production, Cleaner Products, Industrial Ecology and Sustainability, Netherlands; Huisingh D., Institute for A Secure and Sustainable Environment, University of TN, Knoxville, TN, United States","Eco-town developments have been the testing grounds to improve upon the urban policies and practices in the Northern and Western European countries since the early 1990s. It has been widely discussed as to whether or how they have helped transitioning of towns and cities into more sustainable systems in the larger urban context through educational, experiential, societal diffusion and changes in governance processes. The countries in different cultural and geographical contexts with rapid urbanization rates, seek to establish similar developments with relatively less knowledge of the contextual and procedural differences in the eco-towns' processes or the reasons for their varying levels of impact. This article was prepared to summarize and systematize the insights that have been obtained from 'eco-town' based urban developments implemented in the Northwestern Europe with particular emphasis given into the examples from The Netherlands, Sweden and Germany. The review of the relevant literature was conducted with the focus on: a. the context in which the demonstration eco-towns were developed since the emergence of planned communities in the early 20th century, b. the typologies, processes and frameworks through which the eco-towns were initiated, built, governed and evolved. The authors analyzed the wide diversity of frameworks and processes that have played roles in the relative successes and/or failures. The review provided insights into their procedures and the aspects associated with the diffusion of the lessons into the broader urban planning and development methods. The findings suggested that the political commitment, timing, financial aspects, physical qualities, stakeholder involvement and environmental planning were key elements in achieving the eco-towns' goals. Future research is recommended to critically analyze the impacts of these historically new urban development models and frameworks in order to create more effective approaches for achieving positive outcomes for all societies within ecological boundaries. © 2015 Elsevier Ltd. All rights reserved.","Eco-towns; Positive development; Quality of life; Regenerative development; Sustainable development; Urban transformation","Economic and social effects; Planning; Urban growth; Urban planning; Eco-towns; Positive development; Quality of life; Regenerative development; Urban transformation; Sustainable development","B. Bayulken; Erasmus University Rotterdam, Cleaner Production, Cleaner Products, Industrial Ecology and Sustainability, Netherlands; email: bbayulken@gmail.com","","Elsevier Ltd","09596526","","JCROE","","English","J. Clean. Prod.","Article","Final","","Scopus","2-s2.0-84966522072"
"De Jong M.; Joss S.; Schraven D.; Zhan C.; Weijnen M.","De Jong, Martin (57209464929); Joss, Simon (6602664270); Schraven, Daan (55759727400); Zhan, Changjie (56528978300); Weijnen, Margot (56529406100)","57209464929; 6602664270; 55759727400; 56528978300; 56529406100","Sustainable-smart-resilient-low carbon-eco-knowledge cities; Making sense of a multitude of concepts promoting sustainable urbanization","2015","Journal of Cleaner Production","109","","","25","38","13","700","10.1016/j.jclepro.2015.02.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959852122&doi=10.1016%2fj.jclepro.2015.02.004&partnerID=40&md5=e1e9327d226e4bd990d74c16576465d7","Delft University of Technology, Netherlands; Fudan University, China; University of Westminster, United Kingdom","De Jong M., Delft University of Technology, Netherlands, Fudan University, China; Joss S., University of Westminster, United Kingdom; Schraven D., Delft University of Technology, Netherlands; Zhan C., Delft University of Technology, Netherlands; Weijnen M., Delft University of Technology, Netherlands","Over the last couple of decades, metropolitan areas around the world have been engaged in a multitude of initiatives aimed at upgrading urban infrastructure and services, with a view to creating better environmental, social and economic conditions and enhancing cities' attractiveness and competitiveness. Reflecting these developments, many new categories of 'cities' have entered the policy discourse: 'sustainable cities'; 'green cities'; 'digital cities'; 'smart cities'; intelligent cities'; 'information cities'; 'knowledge cities'; 'resilient cities'; 'eco cities'; 'low carbon cities'; 'liveable cities'; and even combinations, such as 'low carbon eco cities' and 'ubiquitous eco cities'. In practice, these terms often appear to be used interchangeably by policy makers, planners and developers. However, the question arises whether these categories nevertheless each embody distinct conceptual perspectives, which would have implications for how they are understood theoretically and applied in policy. In response, this article investigates, through a comprehensive bibliometric analysis, how the twelve most frequent city categories are conceptualised individually and in relation to one another in the academic literature. We hypothesize that, notwithstanding some degree of overlap and cross-fertilization, in their essence the observed categories each harbor particular conceptual perspectives that render them distinctive. This is borne out by the findings, which demonstrate robustly for the first time the conceptual differences and interrelationships among twelve dominant city categories. The 'sustainable city' is the most frequently occurring category and, in a map of keyword co-occurrences, by far the largest and most interconnected node, linked closely to the 'eco city' and 'green city' concepts. Recently, the more narrow concepts of 'low carbon city' and 'smart city' have been on the rise, judging by their frequency of occurrence in academic journals; the latter in particular appears to have become an increasingly dominant category of urban modernization policy. On their part, 'resilient city' and 'knowledge city' represent distinct concepts, albeit with comparatively low frequency. Overall, the findings point to the need for rigor and nuance in the use of these terms, not least if one wishes to comprehend their implications for urban development and regeneration policy and practice. © 2015 Elsevier Ltd. All rights reserved.","Bibliometric analysis; Eco city; Ecological modernization; Smart city; Sustainable city; Urban development","Carbon; Ecology; Bibliometric analysis; Eco cities; Ecological modernizations; Smart cities; Sustainable cities; Urban development; Urban growth","S. Joss; University of Westminster, United Kingdom; email: josss@westminster.ac.uk","","Elsevier Ltd","09596526","","JCROE","","English","J. Clean. Prod.","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84959852122"
"Du Plessis C.; Brandon P.","Du Plessis, Chrisna (56114725300); Brandon, Peter (7004977116)","56114725300; 7004977116","An ecological worldview as basis for a regenerative sustainability paradigm for the built environment","2015","Journal of Cleaner Production","109","","","53","61","8","91","10.1016/j.jclepro.2014.09.098","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84910019772&doi=10.1016%2fj.jclepro.2014.09.098&partnerID=40&md5=2a310bb3176d7408661e3e7fea97bddc","Department of Construction Economics, University of Pretoria, Private Bag X20, Hatfield, 0028, South Africa; School of the Built Environment, University of Salford, Salford, M5 4WT, United Kingdom","Du Plessis C., Department of Construction Economics, University of Pretoria, Private Bag X20, Hatfield, 0028, South Africa; Brandon P., School of the Built Environment, University of Salford, Salford, M5 4WT, United Kingdom","It has been widely argued that in order to move development into a positive curve towards sustainability, society needs to change the worldview/paradigm within which it currently operates; and that such a shift from a mechanistic to an ecological/living systems worldview is already happening. It is suggested that the purpose of the sustainability paradigm flowing from this worldview is not to conserve the status quo or meet ill-defined human needs, but to strengthen the health, adaptive capacity, and evolutionary potential of the fully integrated global social-ecological system so that it can continue regenerating itself, thereby creating the conditions for a thriving and abundant future - not only for the human species, but for all life. In this paper we explore the ecological worldview and the guidelines it provides for how we interpret sustainability; as well as the strategies for the production of the built environment we need to follow if we are to adapt to coming changes in the planetary system and regenerate the world. The question this paper asks is: how does this sustainability paradigm, with its focus on regenerating the whole of the social-ecological system within which we are working, change the way the built environment is produced? To achieve this objective, the paper synthesizes the findings of two separate studies: an extensive literature review to define the meta-narratives of the ecological worldview; and an analysis of in depth interviews with academics and built environment practitioners that aimed to find correlations between the practice and theoretical positions of the participants and the values and praxiology of the ecological worldview as described in the first study. Three main themes of the ecological worldview - wholeness, relationship, and change - provide a framework for discussing the implications of this regenerative sustainability paradigm for the production of the built environment - for how it is created, the technologies used, and how it is evaluated. © 2014 Elsevier Ltd. All rights reserved.","Biophilia; Ecology; Holistic; Regenerative; Resilience; Worldview","Conservation; Ecology; Biophilia; Holistic; Regenerative; Resilience; Worldview; Sustainable development","C. Du Plessis; Department of Construction Economics, University of Pretoria, Hatfield, Private Bag X20, 0028, South Africa; email: chrisna.duplessis@up.ac.za","","Elsevier Ltd","09596526","","JCROE","","English","J. Clean. Prod.","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84910019772"
